Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
Tesla,Model S Plaid,2021,Electric (tri-motor),505,1050,1.9,"141,190",USA
Audi,RS 5,2021,2.9,505,443,3.5,"75,100",Germany
BMW,M2 Competition,2022,3,505,406,4,"59,895",Germany
Chevrolet,Camaro ZL1,2021,6.2,523,650,3.5,"64,995",USA
Dodge,Viper ACR,2017,8.4,523,600,3.3,"126,190",USA
Ford,GT,2021,3.5,523,550,2.9,"500,000",USA
Porsche,Taycan 4S,2022,2.5,542,472,3.8,"102,900",Germany
Lamborghini,Aventador S,2021,6.5,542,509,2.9,"417,650",Italy
Aston Martin,DB11,2021,5.2,542,516,3.5,"205,000",UK
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,542,443,3.8,"81,250",Italy
Audi,RS7 Sportback,2022,4,542,590,3.5,"115,045",Germany
BMW,M4 Competition,2021,3,542,479,3.9,"75,695",Germany
Chevrolet,Camaro SS,2022,6.2,542,455,4.1,"42,000",USA
Dodge,Charger Hellcat,2021,6.2,550,650,3.6,"71,490",USA
Ferrari,F8 Tributo,2021,3.9,562,568,2.9,"274,280",Italy
Ford,GT,2021,3.5,562,550,2.8,"500,000",USA
Jaguar,F-Type R,2021,5,562,516,3.5,"103,200",UK
Koenigsegg,Jesko Absolut,2022,5,562,1106,2.1,"2,800,000",Sweden
Lexus,LC 500,2021,5,562,398,4.4,"93,050",Japan
Lotus,Evija,2022,Electric,562,1254,2.5,"2,750,000",UK
McLaren,GT,2022,4,562,465,3.2,"210,000",UK
Mercedes-Benz,AMG GT Black Series,2021,4,562,590,3.2,"326,050",Germany
Porsche,Cayman GT4,2021,4,562,309,4.2,"102,500",Germany
Lamborghini,Aventador,2021,6.5,562,531,2.8,"417,650",Italy
Ferrari,Portofino,2021,3.9,562,560,3.3,"218,750",Italy
Audi,TT RS,2022,2.5,562,354,3.6,"69,000",Germany
McLaren,600LT Spider,2021,3.8,562,457,2.8,"256,500",UK
BMW,M4,2022,3,562,406,4.1,"72,800",Germany
Mercedes-Benz,AMG C 63,2022,4,562,516,3.8,"70,000",Germany
Chevrolet,Camaro SS 1LE,2021,6.2,562,455,4,"44,500",USA
Ford,Mustang Mach 1,2021,5,562,420,4,"51,000",USA
Nissan,370Z Nismo,2021,3.7,562,276,5.2,"45,000",Japan
Aston Martin,Vantage,2021,4,562,505,3.5,"146,000",UK
Bugatti,Chiron,2022,8,562,1180,2.4,"3,000,000",France
Koenigsegg,Jesko,2021,5,562,1106,2.5,"3,000,000",Sweden
Pagani,Huayra,2021,6,562,738,2.6,"2,600,000",Italy
McLaren,Speedtail,2021,4,562,848,2.5,"2,300,000",UK
Lamborghini,Sián,2021,6.5,562,531,2.8,"3,600,000",Italy
Rimac,C_Two,2021,Electric,562,1732,1.8,"2,400,000",Croatia
Porsche,Cayman,2022,2,562,280,4.9,"59,900",Germany
Lamborghini,Aventador,2021,6.5,562,531,2.8,"393,695",Italy
Ferrari,Portofino,2021,3.9,562,413,3.5,"215,000",Italy
Audi,RS 5,2022,2.9,563,443,3.7,"75,100",Germany
McLaren,GT,2021,4,563,465,3.1,"210,000",UK
BMW,Z4 M40i,2022,3,573,369,4.3,"63,700",Germany
Mercedes-Benz,SLC 43,2020,3,573,384,4.6,"62,000",Germany
Chevrolet,Camaro SS,2022,6.2,573,455,4.3,"42,500",USA
Ford,Mustang GT,2022,5,573,420,4.3,"36,120",USA
Nissan,370Z Nismo,2020,3.7,573,276,4.6,"45,790",Japan
Aston Martin,Vantage,2022,4,573,505,3.6,"146,000",UK
Bentley,Continental GT,2021,4,573,664,3.3,"220,000",UK
Porsche,718 Boxster,2022,2,573,280,4.9,"62,000",Germany
Lamborghini,Urus,2021,4,573,627,3.6,"222,004",Italy
Ferrari,F8 Spider,2021,3.9,573,568,2.9,"280,000",Italy
Audi,TT RS,2022,2.5,573,354,3.6,"69,900",Germany
McLaren,570S,2021,3.8,573,443,2.9,"208,800",UK
BMW,M4,2022,3,573,406,4,"72,800",Germany
Porsche,718 Cayman,2022,2,573,280,4.9,"60,500",Germany
Lamborghini,Aventador,2021,6.5,573,509,2.9,"393,695",Italy
Ferrari,SF90 Stradale,2022,4,573,590,2.5,"625,000",Italy
Audi,RS5,2022,2.9,575,443,3.7,"75,100",Germany
McLaren,GT,2021,4,575,465,3.2,"208,800",UK
BMW,M2,2022,3,575,406,4,"58,900",Germany
Mercedes-Benz,SLS AMG,2015,6.2,575,468,3.6,"229,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,575,650,3.5,"62,000",USA
Ford,GT,2022,3.5,575,550,3,"500,000",USA
Nissan,370Z Nismo,2020,3.7,575,276,5.2,"46,200",Japan
Dodge,Challenger SRT Hellcat,2021,6.2,575,656,3.6,"71,000",USA
Aston Martin,DBS Superleggera,2021,5.2,575,663,3.2,"308,000",UK
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,575,443,3.8,"80,500",Italy
Jaguar,F-Type R,2021,5,575,516,3.5,"105,900",UK
Lotus,Evora GT,2020,3.5,575,317,3.8,"96,950",UK
Maserati,GranTurismo,2019,4.7,575,384,4.7,"150,980",Italy
Porsche,Panamera Turbo S,2022,4,575,604,2.9,"180,800",Germany
Lamborghini,Urus,2021,4,577,627,3.2,"218,000",Italy
Aston Martin,Vantage,2021,4,577,505,3.5,"146,000",UK
Lotus,Evora,2021,3.5,577,317,3.8,"94,000",UK
Alfa Romeo,4C Spider,2020,1.7,577,258,4.1,"67,150",Italy
Jaguar,F-Type,2022,3,577,339,4.9,"70,900",UK
Maserati,GranTurismo,2021,4.7,583,384,4.7,"134,300",Italy
Porsche,Cayman GT4,2021,4,583,309,4.2,"100,200",Germany
Audi,RS5 Coupe,2022,2.9,591,443,3.7,"76,450",Germany
BMW,M2 Competition,2021,3,591,406,4,"58,900",Germany
Chevrolet,Camaro ZL1,2022,6.2,591,650,3.5,"64,000",USA
Dodge,Challenger SRT Hellcat,2022,6.2,591,656,3.5,"61,500",USA
Ford,GT,2021,3.5,591,550,2.8,"500,000",USA
Lexus,LC 500,2022,5,591,398,4.4,"92,950",Japan
McLaren,570S,2022,3.8,591,443,3.1,"198,950",UK
Mercedes-AMG,C63 S Coupe,2021,4,591,516,3.7,"77,950",Germany
Nissan,370Z Nismo,2021,3.7,591,276,4.9,"45,790",Japan
Porsche,718 Boxster,2021,2,591,280,4.9,"62,000",Germany
Lamborghini,Aventador S,2021,6.5,591,507,2.9,"417,826",Italy
Ferrari,F8 Tributo,2021,3.9,591,568,2.9,"274,280",Italy
Audi,TT RS Coupe,2021,2.5,591,354,3.6,"67,600",Germany
BMW,M4 Coupe,2021,3,591,406,3.8,"71,800",Germany
Acura,NSX,2021,3.5,591,476,2.7,"159,495",Japan
Aston Martin,DBS Superleggera,2022,5.2,591,664,3.4,"314,500",UK
Bentley,Continental GT,2022,6,591,664,3.3,"214,425",UK
Bugatti,Chiron,2022,8,591,1180,2.3,"3,000,000",France
Dodge,Challenger SRT Hellcat,2022,6.2,591,656,3.5,"71,490",USA
Jaguar,F-Type,2021,5,591,516,3.5,"105,900",UK
Koenigsegg,Jesko,2021,5,591,1106,2.5,"2,800,000",Sweden
Lexus,LC 500,2021,5,591,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,591,317,3.8,"104,400",UK
Maserati,GranTurismo,2022,4.7,591,384,4.7,"150,980",Italy
McLaren,Artura,2022,3,591,531,3,"225,000",UK
Pagani,Huayra,2021,6,591,738,2.6,"2,600,000",Italy
Porsche,Cayman GT4,2022,4,591,309,4.2,"102,000",Germany
Rimac,C_Two,2021,Electric,591,1696,1.9,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.8,591,605,4.4,"335,550",UK
Tesla,Model S Plaid,2021,Electric,591,1050,1.9,"141,990",USA
Toyota,GR Supra,2022,3,591,368,3.9,"43,090",Japan
TVR,Griffith,2021,5,591,420,3.9,"157,500",UK
Ultima,RS,2021,6.2,591,1300,2.3,"220,000",UK
W Motors,Fenyr SuperSport,2022,3.8,591,723,2.7,"1,550,000",UAE
Acura,NSX,2021,3.5,591,476,2.9,"157,500",Japan
Aston Martin,DBS Superleggera,2022,5.2,591,663,3.2,"308,000",UK
Bentley,Continental GT,2021,6,591,664,3.6,"202,500",UK
Bugatti,Chiron,2021,8,591,1180,2.3,"3,000,000",France
Dodge,Challenger SRT Hellcat,2021,6.2,591,656,3.5,"65,000",USA
Jaguar,F-Type,2021,3,592,339,4.9,"63,100",UK
Lexus,LC 500,2021,5,592,398,4.4,"92,950",Japan
Lotus,Evija,2022,Electric,592,1254,2.5,"2,600,000",UK
Maserati,GranTurismo,2021,4.7,592,384,4.8,"134,300",Italy
Porsche,Taycan,2021,Electric,592,774,2.6,"185,000",Germany
Rimac,C_Two,2022,Electric,592,1696,1.9,"2,400,000",Croatia
Tesla,Model S Plaid,2022,Electric,592,1050,1.98,"140,000",USA
McLaren,Artura,2022,3,592,531,3,"225,000",UK
Mercedes-Benz,AMG GT Black Series,2021,4,592,590,3.1,"325,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,592,650,3.5,"63,000",USA
Ford,GT,2021,3.5,600,550,3,"500,000",USA
Aston Martin,DBS Superleggera,2021,5.2,600,664,3.4,"307,820",UK
Jaguar,F-Type,2022,5,600,516,3.5,"103,200",UK
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,600,707,3.5,"80,190",USA
Lotus,Evora GT,2022,3.5,600,317,3.8,"105,000",UK
Alfa Romeo,4C Spider,2020,1.8,600,258,4.1,"68,745",Italy
Subaru,WRX STI,2022,2.5,600,290,5.2,"38,170",Japan
Acura,NSX,2022,3.5,600,476,2.7,"157,500",Japan
Koenigsegg,Jesko,2021,5,600,1015,2.5,"2,800,000",Sweden
Tesla,Model S Plaid,2022,Electric,600,1050,1.98,"139,990",USA
Bugatti,Chiron Super Sport 300+,2022,8,600,1180,2.3,"5,200,000",France
McLaren,Senna,2020,4,603,590,2.7,"1,500,000",UK
Porsche,Taycan Turbo S,2022,Electric,603,774,2.6,"185,000",Germany
Mercedes-Benz,SLS AMG Black Series,2014,6.2,603,468,3.5,"275,000",Germany
Lexus,LC 500,2022,5,603,398,4.4,"93,050",Japan
Chevrolet,Camaro ZL1,2022,6.2,611,650,3.5,"65,000",USA
Audi,RS 7 Sportback,2022,4,611,590,3.5,"114,000",Germany
Ford,GT,2022,3.5,611,550,3,"500,000",USA
BMW,M2 CS,2022,3,612,406,3.8,"84,595",Germany
Porsche,Cayman GT4,2022,4,612,309,4.2,"102,550",Germany
Lamborghini,Aventador,2022,6.5,612,531,2.8,"393,695",Italy
Aston Martin,Vantage,2021,4,612,505,3.6,"146,000",UK
Lotus,Evora GT,2021,3.5,612,317,3.8,"96,950",UK
Porsche,Panamera Turbo S,2021,4,612,604,2.9,"180,000",Germany
Lamborghini,Aventador S,2022,6.5,612,507,2.9,"460,247",Italy
Ferrari,SF90 Stradale,2021,4,612,590,2.5,"625,000",Italy
Audi,RS 6 Avant,2022,4,612,590,3.1,"110,045",Germany
McLaren,570S,2021,3.8,612,443,3.1,"192,500",UK
BMW,M5,2022,4.4,612,553,3.2,"103,500",Germany
Mercedes-Benz,AMG C 63 S,2021,4,612,516,3.7,"77,400",Germany
Chevrolet,Camaro ZL1,2021,6.2,612,650,3.5,"64,695",USA
Dodge,Challenger SRT Hellcat,2021,6.2,612,656,3.5,"64,195",USA
Ford,GT,2021,3.5,612,550,3,"500,000",USA
Nissan,370Z Nismo,2020,3.7,612,276,5,"46,815",Japan
Porsche,Cayman GT4,2021,4,612,309,4.2,"102,550",Germany
Audi,TT RS,2021,2.5,612,354,3.6,"67,895",Germany
Chevrolet,Corvette Z06,2023,5.5,612,650,2.6,"85,000",USA
Lamborghini,Urus,2022,4,612,626,3.2,"218,009",Italy
Mercedes-Benz,AMG GT 63 S,2021,4,612,664,3.1,"162,900",Germany
Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000",Italy
Bugatti,Chiron,2021,8,612,1180,2.5,"3,000,000",France
Aston Martin,DBS Superleggera,2021,5.2,616,664,3.4,"304,995",UK
Lotus,Evora GT,2021,3.5,616,317,3.8,"100,450",UK
Porsche,Cayman GT4,2022,4,617,309,4.2,"100,200",Germany
Acura,NSX,2021,3.5,617,476,2.7,"157,500",Japan
Lexus,LC,2021,5,617,398,4.4,"92,950",Japan
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,620,443,3.8,"74,750",Italy
Audi,RS7,2021,4,620,590,3.5,"114,000",Germany
Bentley,Continental GT,2021,6,620,664,3.3,"218,400",UK
BMW,M5,2021,4.4,620,553,3.2,"103,500",Germany
Chevrolet,Camaro ZL1,2021,6.2,620,650,3.5,"64,695",USA
Dodge,Challenger Hellcat,2021,6.2,620,656,3.5,"70,595",USA
Ford,GT,2022,3.5,620,550,3,"500,000",USA
Jaguar,F-Type R,2021,5,620,516,3.5,"103,200",UK
Lamborghini,Aventador,2021,6.5,620,509,2.9,"393,695",Italy
McLaren,570S,2021,3.8,620,443,3.1,"203,500",UK
Mercedes-Benz,SLS AMG,2015,6.2,621,479,3.6,"221,580",Germany
Nissan,370Z Nismo,2020,3.7,622,276,4.7,"47,190",Japan
Porsche,Boxster,2021,2,622,280,4.9,"62,000",Germany
Porsche,718 Cayman,2022,2,622,280,4.9,"61,500",Germany
Lamborghini,Aventador,2021,6.5,622,531,2.9,"393,695",Italy
Ferrari,Roma,2021,3.9,622,561,3.3,"222,630",Italy
Audi,RS 5,2022,2.9,622,442,3.5,"75,400",Germany
McLaren,570S,2020,3.8,622,443,3.1,"208,000",UK
BMW,M2,2022,3,622,406,4.2,"58,900",Germany
Mercedes-Benz,SL,2022,3,622,384,4.9,"96,250",Germany
Chevrolet,Camaro,2021,6.2,622,455,4,"25,000",USA
Ford,GT,2022,3.5,622,550,3,"500,000",USA
Nissan,370Z Nismo,2021,3.7,622,276,5,"45,000",Japan
Aston Martin,DBS Superleggera,2021,5.2,622,664,3.4,"307,820",UK
Lotus,Evora GT,2021,3.5,622,317,3.8,"100,450",UK
Maserati,GranTurismo,2021,4.7,622,384,4.7,"134,300",Italy
Porsche,Panamera,2022,2.9,622,331,5.2,"88,550",Germany
Lamborghini,Urus,2021,4,622,627,3.6,"218,009",Italy
Ferrari,SF90 Stradale,2021,4,624,590,2.5,"625,000",Italy
Audi,RS 6,2022,4,624,590,3.5,"109,000",Germany
McLaren,Artura,2022,3,624,531,3,"225,000",UK
Porsche,Taycan 4S,2021,Electric (93 kWh),624,472,3.8,"103,800",Germany
Lamborghini,Aventador S,2021,6.5,624,509,2.9,"417,650",Italy
Ferrari,SF90 Stradale,2021,4,624,590,2.5,"625,000",Italy
Audi,RS 7,2022,4,624,590,3.5,"117,000",Germany
McLaren,570S,2021,3.8,624,443,3.1,"192,500",UK
BMW,M4,2021,3,625,406,4,"72,800",Germany
Mercedes-Benz,SLS AMG,2015,6.2,626,468,3.5,"228,000",Germany
Chevrolet,Camaro SS,2021,6.2,626,455,4,"42,000",USA
Ford,GT,2021,3.5,626,550,3,"500,000",USA
Nissan,370Z Nismo,2021,3.7,626,276,5,"48,000",Japan
Aston Martin,DBS Superleggera,2021,5.2,626,664,3.2,"307,820",UK
Lexus,LC 500,2021,5,626,398,4.4,"93,000",Japan
Bentley,Continental GT,2021,4,626,664,3.3,"202,500",UK
Maserati,GranTurismo,2021,4.7,626,384,4.7,"150,980",Italy
Tesla,Model S Plaid,2022,Electric (100 kWh),626,1050,1.98,"131,190",USA
Rolls-Royce,Dawn,2021,6.6,626,605,4.3,"346,300",UK
Bugatti,Chiron Pur Sport,2021,8,626,1180,2.3,"3,599,000",France
McLaren,Senna,2019,4,626,590,2.7,"1,050,000",UK
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),626,641,3,"186,350",Germany
Acura,NSX,2021,3.5,626,476,2.7,"157,500",Japan
Aston Martin,DB11,2021,4,626,498,3.7,"205,600",UK
Audi,RS7,2021,4,626,590,3.5,"114,000",Germany
Bentley,Continental GT,2021,6,626,664,3.6,"201,000",UK
Bugatti,Chiron,2021,8,630,1180,2.5,"3,000,000",France
Chevrolet,Camaro ZL1,2022,6.2,630,650,3.5,"67,000",USA
Dodge,Challenger Hellcat,2021,6.2,630,656,3.5,"64,000",USA
Ferrari,812 Superfast,2021,6.5,630,530,2.8,"340,000",Italy
Lamborghini,Aventador SVJ,2021,6.5,630,531,2.8,"517,770",Italy
McLaren,600LT Spider,2021,3.8,630,457,2.8,"256,500",UK
Mercedes-AMG,GT Black Series,2021,4,630,590,3.1,"325,000",Germany
Nissan,400Z,2023,3,630,350,4,"40,000",Japan
Porsche,Cayman GT4,2021,4,630,309,4.2,"101,000",Germany
Rimac,Nevera,2021,Electric,630,1696,1.9,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.8,630,605,4.4,"330,000",UK
Tesla,Model S Plaid,2021,Electric,630,,1.9,"139,990",USA
Toyota,Supra,2021,3,630,368,3.9,"43,000",Japan
Porsche,718 Boxster,2021,2,630,280,4.9,"62,000",Germany
Porsche,718 Boxster,2022,2,630,280,4.9,"62,000",Germany
Lamborghini,Aventador S,2021,6.5,640,509,2.9,"417,826",Italy
Ferrari,SF90 Stradale,2022,4,641,590,2.5,"625,000",Italy
Audi,RS 7,2022,4,641,590,3.5,"114,000",Germany
McLaren,Artura,2021,3,641,531,3,"225,000",UK
BMW,M2,2022,3,641,406,4.1,"58,900",Germany
Mercedes-Benz,SLS AMG,2015,6.2,641,479,3.6,"221,580",Germany
Chevrolet,Camaro ZL1,2021,6.2,641,650,3.5,"64,695",USA
Ford,GT,2022,3.5,641,550,3,"500,000",USA
Nissan,370Z Nismo,2021,3.7,641,276,4.8,"45,000",Japan
Dodge,Charger Hellcat,2021,6.2,641,650,3.6,"69,995",USA
Aston Martin,DBS Superleggera,2021,5.2,641,663,3.2,"305,000",UK
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,641,443,3.8,"75,000",Italy
Audi,TT RS,2021,2.5,641,354,3.6,"68,000",Germany
Bentley,Continental GT,2021,6,641,664,3.6,"203,825",UK
BMW,M5,2022,4.4,641,553,3.2,"103,500",Germany
Chevrolet,Corvette Stingray,2021,6.2,641,470,2.9,"58,900",USA
Dodge,Challenger SRT Hellcat,2021,6.2,641,656,3.5,"63,000",USA
Ford,Mustang GT,2022,5,641,420,4,"45,000",USA
Porsche,Cayman,2022,2,641,280,4.9,"59,900",Germany
Lamborghini,Aventador,2021,6.5,641,531,2.8,"417,826",Italy
Ferrari,Roma,2022,3.9,641,560,3.3,"222,630",Italy
Audi,RS7,2022,4,645,590,3.5,"114,000",Germany
McLaren,570S,2021,3.8,645,443,2.7,"204,995",UK
BMW,M4,2022,3,645,406,4.1,"71,800",Germany
Mercedes-Benz,SLS AMG,2021,6.2,647,468,3.5,"243,600",Germany
Chevrolet,Camaro SS,2021,6.2,647,455,4,"42,000",USA
Ford,GT,2022,3.5,647,550,2.8,"500,000",USA
Nissan,370Z Nismo,2021,3.7,647,276,5,"47,190",Japan
Porsche,Panamera,2022,2.9,650,331,5.4,"88,550",Germany
Lamborghini,Urus,2021,4,650,627,3.2,"218,000",Italy
Ferrari,SF90 Stradale,2021,4,650,590,2.5,"625,000",Italy
Audi,RS6,2022,4,650,590,3.5,"113,000",Germany
McLaren,Artura,2021,3,650,531,3,"225,000",UK
BMW,M2,2022,3,650,406,4,"58,900",Germany
Mercedes-Benz,GT 63,2021,4,650,590,3.3,"161,200",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",USA
Aston Martin,DBS Superleggera,2021,5.2,650,663,3.2,"310,000",UK
Bugatti,Chiron,2022,8,650,1180,2.4,"3,000,000",France
Koenigsegg,Jesko,2021,5,650,1106,2.5,"2,800,000",Sweden
Pagani,Huayra,2021,6,650,737,3,"2,600,000",Italy
Rimac,C_Two,2022,,650,1696,1.85,"2,400,000",Croatia
McLaren,Senna,2021,4,650,590,2.7,"1,000,000",UK
Porsche,918 Spyder,2015,4.6,650,944,2.2,"1,800,000",Germany
Ferrari,SF90 Stradale,2021,4,650,590,2.5,"625,000",Italy
Lamborghini,Aventador SVJ,2020,6.5,650,531,2.8,"517,000",Italy
Audi,RS 6 Avant,2021,4,650,590,3.5,"110,000",Germany
Bentley,Continental GT Speed,2022,6,650,664,3.5,"300,000",UK
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"68,000",USA
Dodge,Challenger SRT Hellcat,2021,6.2,650,656,3.5,"65,000",USA
Ford,GT,2021,3.5,650,550,2.9,"500,000",USA
Lexus,LC 500,2022,5,650,398,4.4,"92,000",Japan
Lotus,Evija,2022,,650,1254,2.5,"2,700,000",UK
Mercedes-AMG,GT Black Series,2021,4,650,590,3.1,"330,000",Germany
Aston Martin,DB11,2021,4,650,513,3.9,"205,000",UK
Bentley,Continental GT,2022,4,650,568,3.9,"229,000",UK
Jaguar,F-Type,2022,2,650,295,5.4,"62,750",UK
Lotus,Evora GT,2021,3.5,650,317,3.8,"100,000",UK
Maserati,GranTurismo,2021,4.7,650,384,4.7,"135,000",Italy
Porsche,Boxster,2022,2,650,280,4.9,"63,000",Germany
Alfa Romeo,4C,2020,1.8,660,258,4.2,"67,150",Italy
Chevrolet,Camaro,2022,6.2,660,455,4,"62,195",USA
Dodge,Challenger,2022,3.6,660,268,6.4,"28,000",USA
Ford,GT,2022,3.5,660,550,2.9,"500,000",USA
Audi,RS7,2022,4,660,590,3.5,"115,045",Germany
BMW,M4,2022,3,660,406,4.1,"71,800",Germany
Lamborghini,Aventador,2021,6.5,660,507,2.9,"393,695",Italy
Mercedes-Benz,AMG C 63,2021,4,660,479,3.8,"69,900",Germany
Nissan,370Z,2021,3.7,660,276,5.3,"30,090",Japan
Porsche,Cayman,2022,2,660,280,4.9,"68,000",Germany
BMW,i8,2022,1.5,660,184,4.2,"147,500",Germany
Chevrolet,Corvette Stingray,2021,6.2,660,470,2.9,"58,900",USA
Porsche,Taycan Turbo S,2022,Electric,660,774,2.6,"185,000",Germany
Lamborghini,Aventador S,2021,6.5,660,507,2.9,"417,650",Italy
Ferrari,SF90 Stradale,2022,4,660,590,2.5,"625,000",Italy
Audi,RS7,2022,4,660,590,3.5,"115,000",Germany
McLaren,GT,2022,4,660,465,3.1,"208,000",UK
BMW,M5,2022,4.4,660,553,3.2,"103,500",Germany
Mercedes-Benz,SLS AMG,2021,4,660,590,2.9,"250,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,660,650,3.5,"63,000",USA
Ford,GT,2022,3.5,660,550,2.8,"500,000",USA
Nissan,370Z Nismo,2021,3.7,660,276,5,"46,100",Japan
Porsche,Panamera Turbo S,2022,4,660,604,3.1,"180,000",Germany
Lamborghini,Urus,2021,4,660,627,3.2,"218,000",Italy
Ferrari,Portofino,2022,3.9,660,561,3.4,"250,000",Italy
Audi,TT RS,2022,2.5,660,354,3.6,"70,000",Germany
McLaren,570S,2021,3.8,660,443,3.1,"200,000",UK
BMW,i8,2022,Hybrid,660,184,4.2,"148,500",Germany
Porsche,718 Cayman,2022,2,660,280,4.9,"61,500",Germany
Lamborghini,Aventador,2021,6.5,660,531,2.8,"417,826",Italy
Ferrari,Portofino,2022,3.9,661,561,3.3,"245,000",Italy
Audi,TT RS,2022,2.5,661,354,3.6,"67,800",Germany
McLaren,GT,2022,4,671,465,3.1,"211,300",UK
BMW,M4,2022,3,671,406,4.1,"71,800",Germany
Mercedes-Benz,SLS AMG,2015,6.2,671,468,3.5,"222,500",Germany
Chevrolet,Camaro SS,2022,6.2,671,455,4,"43,995",USA
Ford,GT,2022,3.5,671,550,2.9,"500,000",USA
Nissan,370Z Nismo,2021,3.7,671,276,4.8,"45,790",Japan
Porsche,911 Turbo S,2022,3.8,671,590,2.6,"208,000",Germany
McLaren,765LT,2021,4,671,590,2.8,"358,000",UK
Lamborghini,Urus,2021,4,671,627,3.6,"218,009",Italy
Mercedes-AMG,GT Black Series,2021,4,671,590,3.1,"325,000",Germany
BMW,M5 Competition,2022,4.4,671,553,3.1,"103,500",Germany
Audi,RS7,2022,4,671,590,3.5,"115,000",Germany
Aston Martin,Vantage,2022,4,689,505,3.5,"152,995",UK
Ferrari,F8 Spider,2021,3.9,689,568,2.9,"274,280",Italy
Lexus,LC 500,2022,5,690,398,4.4,"102,550",Japan
Porsche,Taycan,2022,,690,479,3.8,"79,900",Germany
Lamborghini,Aventador SVJ,2021,6.5,690,531,2.8,"517,770",Italy
Ferrari,SF90 Stradale,2021,4,707,590,2.5,"625,000",Italy
Audi,RS6 Avant,2021,4,710,590,3.5,"109,000",Germany
McLaren,600LT Spider,2021,3.8,710,457,2.8,"256,500",UK
BMW,M4,2022,3,710,406,3.8,"71,800",Germany
Mercedes-Benz,AMG GT R,2021,4,710,516,3.5,"180,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,710,650,3.5,"64,695",USA
Ford,GT,2022,3.5,710,550,3,"500,000",USA
Nissan,370Z Nismo,2021,3.7,710,276,5,"48,000",Japan
Porsche,Panamera Turbo S E-Hybrid,2021,4,710,642,3,"190,000",Germany
Lamborghini,Urus,2021,4,710,627,3.5,"218,000",Italy
Ferrari,Portofino M,2021,3.9,710,561,3.4,"235,000",Italy
Audi,TT RS,2022,2.5,710,354,3.6,"67,600",Germany
McLaren,Artura,2022,3,710,531,3,"225,000",UK
BMW,M2 CS,2022,3,710,406,3.8,"84,595",Germany
Mercedes-Benz,SLS AMG Black Series,2021,6.2,710,468,3.5,"335,000",Germany
Chevrolet,Camaro SS,2021,6.2,715,455,4,"42,000",USA
Porsche,718 Boxster,2022,2,715,280,4.9,"63,000",Germany
Lamborghini,Aventador SVJ,2020,6.5,715,531,2.8,"573,966",Italy
Ferrari,SF90 Stradale,2022,4,715,590,2.5,"625,000",Italy
Audi,TT RS Coupe,2022,2.5,715,354,3.5,"68,000",Germany
McLaren,GT,2020,4,715,465,3.1,"210,000",UK
BMW,Z4 Roadster,2022,2,715,295,5.2,"50,000",Germany
Mercedes-Benz,SLS AMG,2015,6.2,715,468,3.6,"200,000",Germany
Chevrolet,Camaro SS Convertible,2022,6.2,715,455,4,"49,000",USA
Ford,GT,2021,3.5,715,550,2.9,"500,000",USA
Nissan,370Z Coupe,2020,3.7,715,270,5,"30,090",Japan
Aston Martin,Vantage,2021,4,715,505,3.6,"142,086",UK
Bentley,Continental GT,2022,6,715,664,3.3,"225,000",UK
Bugatti,Chiron,2021,8,715,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat,2022,6.2,715,656,3.5,"68,000",USA
Jaguar,F-Type,2022,2,715,295,5.4,"63,700",UK
Lotus,Evora GT,2021,3.5,715,317,3.8,"100,000",UK
Maserati,GranTurismo,2022,4.7,717,384,4.7,"150,980",Italy
Aston Martin,DBS Superleggera,2021,5.2,717,664,3.2,"304,995",UK
Lotus,Evora GT,2021,3.5,717,317,3.8,"98,395",UK
Porsche,Panamera Turbo S E-Hybrid,2021,4,717,642,3,"190,000",Germany
Lamborghini,Aventador SVJ,2021,6.5,717,531,2.8,"517,000",Italy
Ferrari,SF90 Stradale,2021,4,717,590,2.5,"625,000",Italy
Audi,RS7,2022,4,717,590,3.5,"117,000",Germany
Mercedes-Benz,S63 AMG,2021,4,717,664,3.4,"168,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,717,650,3.5,"64,500",USA
Ford,GT,2021,3.5,717,550,2.8,"500,000",USA
Nissan,370Z Nismo,2021,3.7,717,276,4.7,"46,000",Japan
Porsche,718 Cayman GT4,2022,4,717,309,4.2,"102,000",Germany
Mercedes-AMG,C63 S Coupe,2021,4,717,516,3.7,"77,500",Germany
